h,m,s,,small_inst,small_empt,small_delay,small_delay,,big_inst,big_empt,big_delay,big_delay,,aiml_inst,aiml_empt,aiml_delay,aiml_delay
4,0,0,,2,1,0.0241826,0.241826,,5,4,0.0241826,0.241826,,2,1,0.0241826,0.241826
4,14,24,,2,2,0.2432065,2.432065,,5,5,0.0584348,0.584348,,2,2,0.2432065,2.432065
4,28,48,,2,2,0.2624707,2.624707,,5,5,0.2624707,2.624707,,2,2,0.2624707,2.624707
4,43,12,,2,0,0.0550559,0.550559,,5,3,0.0550559,0.550559,,2,0,0.0550559,0.550559
4,57,36,,2,1,0.1173075,1.173075,,5,4,0.1173075,1.173075,,2,1,0.1173075,1.173075
5,12,0,,2,1,0.2067425,2.067425,,5,4,0.6410557,6.410557,,2,1,0.2067425,2.067425
5,26,24,,2,0,0.1172261,1.172261,,5,2,0.1172261,1.172261,,2,0,0.1172261,1.172261
5,40,48,,2,0,0.2001787,2.001787,,5,3,0.2001787,2.001787,,2,0,0.2001787,2.001787
5,55,12,,2,0,0.4197818,4.197818,,5,1,0.0555153,0.555153,,2,0,0.4197818,4.197818
6,9,36,,2,0,0.9600013,9.600013,,5,5,0.1469625,1.469625,,2,0,0.9600013,9.600013
6,24,0,,2,0,0.4186487,4.186487,,5,2,0.1243376,1.243376,,2,0,0.4186487,4.186487
6,38,24,,2,0,0.5954455,5.954455,,5,2,0.0370272,0.370272,,2,0,0.5954455,5.954455
6,52,48,,2,0,0.8001007,8.001007,,5,4,0.0552457,0.552457,,2,0,0.8001007,8.001007
7,7,12,,2,0,0.5089939,5.089939,,5,0,0.5152679,5.152679,,2,0,0.5089939,5.089939
7,21,36,,2,0,1.0107138,10.107138,,5,3,0.0482484,0.482484,,2,0,1.0107138,10.107138
7,36,0,,2,0,1.205024,12.05024,,5,1,0.1254079,1.254079,,2,0,1.205024,12.05024
7,50,24,,2,0,1.6772793,16.772793,,5,2,0.0559944,0.559944,,2,0,1.6772793,16.772793
8,4,48,,2,0,1.567745,15.67745,,5,0,0.4847423,4.847423,,2,0,1.567745,15.67745
8,19,12,,2,0,1.9120455,19.120455,,5,0,0.0425309,0.425309,,2,0,1.9120455,19.120455
8,33,36,,2,0,2.7088634,27.088634,,5,3,0.0213935,0.213935,,2,0,2.7088634,27.088634
8,48,0,,2,0,3.2950775,32.950775,,5,3,0.0421928,0.421928,,2,0,3.2950775,32.950775
9,2,24,,2,0,3.5031149,35.031149,,5,2,0.1455449,1.455449,,2,0,3.5031149,35.031149
9,16,48,,2,0,4.4319969,44.319969,,5,3,0.1142196,1.142196,,5,0,3.1829202,31.829202
9,31,12,,2,0,4.4572919,44.572919,,5,0,0.0425373,0.425373,,5,0,2.7235664,27.235664
9,45,36,,2,0,4.8923888,48.923888,,5,0,0.1991324,1.991324,,5,0,2.6520081,26.520081
10,0,0,,2,0,5.3963993,53.963993,,5,3,0.0098545,0.098545,,5,0,1.5796005,15.796005
10,14,24,,2,0,5.7782419,57.782419,,5,4,0.0995375,0.995375,,5,0,0.9035027,9.035027
10,28,48,,2,0,6.1086717,61.086717,,5,0,0.1820365,1.820365,,5,0,0.196571,1.96571
10,43,12,,2,0,6.7837584,67.837584,,5,3,0.1736859,1.736859,,2,0,0.3390055,3.390055
10,57,36,,2,0,6.7116582,67.116582,,5,4,0.1442976,1.442976,,2,1,0.1442976,1.442976
11,12,0,,2,0,7.114295,71.14295,,5,2,0.0262314,0.262314,,2,0,0.2485058,2.485058
11,26,24,,2,0,7.5974118,75.974118,,5,4,0.0928409,0.928409,,2,1,0.0928409,0.928409
11,40,48,,2,0,8.1681133,81.681133,,5,0,0.2978656,2.978656,,2,0,0.5017973,5.017973
11,55,12,,2,0,8.6183924,86.183924,,5,2,0.15073,1.5073,,2,0,1.0943014,10.943014
12,9,36,,2,0,8.7186871,87.186871,,5,4,0.0250895,0.250895,,2,0,1.4020945,14.020945
12,24,0,,2,0,8.7928754,87.928754,,5,4,0.3595701,3.595701,,2,0,0.9748976,9.748976
12,38,24,,2,0,9.1938299,91.938299,,5,2,0.0523274,0.523274,,2,0,1.3751818,13.751818
12,52,48,,2,0,9.8243578,98.243578,,5,4,0.1344933,1.344933,,2,0,0.8937715,8.937715
13,7,12,,2,0,9.7795024,97.795024,,5,3,0.0012137,0.012137,,2,0,0.6384464,6.384464
13,21,36,,2,0,9.5475491,95.475491,,5,0,0.3977213,3.977213,,2,0,0.7801109,7.801109
13,36,0,,2,0,9.119732,91.19732,,5,2,0.382442,3.82442,,2,0,1.2339724,12.339724
13,50,24,,2,0,9.4799397,94.799397,,5,1,0.2434663,2.434663,,2,0,1.8638266,18.638266
14,4,48,,2,0,10.2984602,102.984602,,5,2,0.0505743,0.505743,,2,0,2.0690767,20.690767
14,19,12,,2,0,10.368998,103.68998,,5,2,0.3652065,3.652065,,2,0,2.6466092,26.466092
